['--model', 'complex', '--data', 'covid', '--loss', 'pw_logistic', '--epochs', '600', '--learning-rate', '0.278', '--batch-size', '2048', '--reg-weight', '7.01e-08', '--embedding-size', '200', '--nb-negs', '50', '--quiet', '--save_model_name', 'cplex_covid_PW_lr_278_bsize_2048_rw_7010_es_200_nbneg_50_forREL', '--testrel', 'best_cplex_covidPW_rel.csv']
MCL False
INFO:best_cplex_covid_PW.py:Valid: False
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:NOT MC
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:valid: False
INFO:best_cplex_covid_PW.py:Epoch 214/600	Loss 1104.4280 ± 54.9276
INFO:best_cplex_covid_PW.py:Epoch 215/600	Loss 1111.3414 ± 51.2902
INFO:best_cplex_covid_PW.py:Epoch 216/600	Loss 1105.3458 ± 56.1441
INFO:best_cplex_covid_PW.py:Epoch 217/600	Loss 1105.0694 ± 51.9519
INFO:best_cplex_covid_PW.py:Epoch 218/600	Loss 1102.3303 ± 51.7668
INFO:best_cplex_covid_PW.py:Epoch 219/600	Loss 1109.4286 ± 54.3948
INFO:best_cplex_covid_PW.py:Epoch 220/600	Loss 1107.1188 ± 54.5350
INFO:best_cplex_covid_PW.py:Epoch 221/600	Loss 1100.2748 ± 53.1464
INFO:best_cplex_covid_PW.py:Epoch 222/600	Loss 1106.1078 ± 53.9479
INFO:best_cplex_covid_PW.py:Epoch 223/600	Loss 1102.9676 ± 54.3773
INFO:best_cplex_covid_PW.py:Epoch 224/600	Loss 1102.0253 ± 59.1316
INFO:best_cplex_covid_PW.py:Epoch 225/600	Loss 1101.6255 ± 55.0000
INFO:best_cplex_covid_PW.py:Epoch 226/600	Loss 1102.5678 ± 54.5602
INFO:best_cplex_covid_PW.py:Epoch 227/600	Loss 1099.9527 ± 55.2869
INFO:best_cplex_covid_PW.py:Epoch 228/600	Loss 1101.7238 ± 53.6385
INFO:best_cplex_covid_PW.py:Epoch 229/600	Loss 1099.3494 ± 53.1304
INFO:best_cplex_covid_PW.py:Epoch 230/600	Loss 1104.0950 ± 52.4641
INFO:best_cplex_covid_PW.py:Epoch 231/600	Loss 1099.1006 ± 59.6733
INFO:best_cplex_covid_PW.py:Epoch 232/600	Loss 1098.5378 ± 52.9368
INFO:best_cplex_covid_PW.py:Epoch 233/600	Loss 1099.6709 ± 51.9651
INFO:best_cplex_covid_PW.py:Epoch 234/600	Loss 1104.9554 ± 57.3227
INFO:best_cplex_covid_PW.py:Epoch 235/600	Loss 1095.7300 ± 54.4898
INFO:best_cplex_covid_PW.py:Epoch 236/600	Loss 1097.0428 ± 50.3722
INFO:best_cplex_covid_PW.py:Epoch 237/600	Loss 1098.6286 ± 54.2620
